Journal Title,MEDLINE Abbreviation,ISSN (Print),ISSN (Online),Country,Categories,Start Year,NLM ID
"APMIS : acta pathologica, microbiologica, et immunologica Scandinavica.",APMIS,0903-4641,1600-0463,Denmark,Allergy and Immunology; Microbiology; Pathology,1988,8803400
Acta microbiologica et immunologica Hungarica.,Acta Microbiol Immunol Hung,1217-8950,1588-2640,Hungary,Allergy and Immunology; Microbiology,1994,9434021
Advances in immunology.,Adv Immunol,0065-2776,1557-8445,United States,Allergy and Immunology,1961,0370425
Advances in respiratory medicine.,Adv Respir Med,2451-4934,2543-6031,Switzerland,Allergy and Immunology; Pulmonary Medicine,2016,101697329
Allergology international : official journal of the Japanese Society of Allergology.,Allergol Int,1323-8930,1440-1592,England,Allergy and Immunology,1996,9616296
Allergy and asthma proceedings :,Allergy Asthma Proc,1088-5412,1539-6304,United States,Allergy and Immunology; Pulmonary Medicine,1996,9603640
Allergy.,Allergy,0105-4538,1398-9995,Denmark,Allergy and Immunology,1978,7804028
American journal of reproductive immunology : AJRI.,Am J Reprod Immunol,1046-7408,1600-0897,Denmark,Allergy and Immunology; Reproductive Medicine,1989,8912860
American journal of rhinology & allergy.,Am J Rhinol Allergy,1945-8924,1945-8932,United States,Allergy and Immunology; Otolaryngology,2009,101490775
"Annals of allergy, asthma & immunology : official publication of the American College of Allergy, Asthma, & Immunology.",Ann Allergy Asthma Immunol,1081-1206,1534-4436,United States,Allergy and Immunology; Pulmonary Medicine,1995,9503580
Annual review of immunology.,Annu Rev Immunol,0732-0582,1545-3278,United States,Allergy and Immunology,1983,8309206
Anti-inflammatory & anti-allergy agents in medicinal chemistry.,Antiinflamm Antiallergy Agents Med Chem,1871-5230,1875-614X,United Arab Emirates,Allergy and Immunology; Drug Therapy; Pharmacology,2006,101462262
Antonie van Leeuwenhoek.,Antonie Van Leeuwenhoek,0003-6072,1572-9699,Netherlands,Allergy and Immunology; Microbiology,1934,0372625
Archivum immunologiae et therapiae experimentalis.,Arch Immunol Ther Exp (Warsz),0004-069X,1661-4917,Poland,Allergy and Immunology,1962,0114365
Arerugī = [Allergy].,Arerugi,0021-4884,1347-7935,Japan,Allergy and Immunology,1952,0241212
Asian Pacific journal of allergy and immunology,Asian Pac J Allergy Immunol,0125-877X,,Thailand,Allergy and Immunology,1983,8402034
Autoimmunity reviews.,Autoimmun Rev,1568-9972,1873-0183,Netherlands,Allergy and Immunology,2002,101128967
Autoimmunity.,Autoimmunity,0891-6934,1607-842X,England,Allergy and Immunology,1988,8900070
BMC immunology.,BMC Immunol,,1471-2172,England,Allergy and Immunology,2000,100966980
"BioDrugs : clinical immunotherapeutics, biopharmaceuticals and gene therapy.",BioDrugs,1173-8804,1179-190X,New Zealand,"Allergy and Immunology; Drug Therapy; Genetics, Medical; Therapeutics",1997,9705305
Biologicals : journal of the International Association of Biological Standardization.,Biologicals,1045-1056,1095-8320,England,Allergy and Immunology; Technology,1990,9004494
Blood cancer journal.,Blood Cancer J,,2044-5385,United States,Allergy and Immunology; Hematology; Neoplasms,2011,101568469
"Brain, behavior, and immunity.",Brain Behav Immun,0889-1591,1090-2139,Netherlands,Allergy and Immunology; Brain; Psychophysiology,1987,8800478
Cancer immunology research.,Cancer Immunol Res,2326-6066,2326-6074,United States,Allergy and Immunology; Neoplasms,2013,101614637
"Cancer immunology, immunotherapy : CII.",Cancer Immunol Immunother,0340-7004,1432-0851,Germany,Allergy and Immunology; Neoplasms; Therapeutics,1982,8605732
Cellular & molecular immunology.,Cell Mol Immunol,1672-7681,2042-0226,China,Allergy and Immunology,2004,101242872
Cellular immunology.,Cell Immunol,0008-8749,1090-2163,Netherlands,Allergy and Immunology; Cell Biology,1970,1246405
