Journal Title,MEDLINE Abbreviation,ISSN (Print),ISSN (Online),Country,Categories,Start Year,NLM ID
Channels.,Channels (Austin),1933-6950,1933-6969,United States,Biochemistry,2007,101321614
Prion.,Prion,1933-6896,1933-690X,United States,Biochemistry,2007,101472305
Journal of proteomics.,J Proteomics,1874-3919,1876-7737,Netherlands,Biochemistry,2008,101475056
Metallomics : integrated biometal science.,Metallomics,1756-5901,1756-591X,England,Biochemistry,2009,101478346
Proteomics. Clinical applications.,Proteomics Clin Appl,1862-8346,1862-8354,Germany,Biochemistry,2007,101298608
The protein journal.,Protein J,1572-3887,1875-8355,Netherlands,Biochemistry,2004,101212092
Expert review of proteomics.,Expert Rev Proteomics,1478-9450,1744-8387,England,Biochemistry,2004,101223548
The FEBS journal.,FEBS J,1742-464X,1742-4658,England,Biochemistry,2005,101229646
Journal of proteome research.,J Proteome Res,1535-3893,1535-3907,United States,Biochemistry,2002,101128775
Biomedit︠s︡inskai︠a︡ khimii︠a︡.,Biomed Khim,2310-6972,2310-6905,Russia (Federation),Biochemistry,2003,101196966
Proteomics.,Proteomics,1615-9853,1615-9861,Germany,Biochemistry,2001,101092707
Macromolecular bioscience.,Macromol Biosci,1616-5187,1616-5195,Germany,Biochemistry,2001,101135941
Journal of oleo science.,J Oleo Sci,1345-8957,1347-3352,Japan,Biochemistry,2001,101175339
Organic letters.,Org Lett,1523-7060,1523-7052,United States,Biochemistry,1999,100890393
"Nucleosides, nucleotides & nucleic acids.",Nucleosides Nucleotides Nucleic Acids,1525-7770,1532-2335,United States,Biochemistry,2000,100892832
Chembiochem : a European journal of chemical biology.,Chembiochem,1439-4227,1439-7633,Germany,Biochemistry,2000,100937360
Bioelectrochemistry.,Bioelectrochemistry,1567-5394,1878-562X,Netherlands,Biochemistry,2000,100953583
Current protein & peptide science.,Curr Protein Pept Sci,1389-2037,1875-5550,United Arab Emirates,Biochemistry,2000,100960529
Current opinion in chemical biology.,Curr Opin Chem Biol,1367-5931,1879-0402,England,Biochemistry,1997,9811312
"Biomarkers : biochemical indicators of exposure, response, and susceptibility to chemicals.",Biomarkers,1354-750X,1366-5804,England,Biochemistry,1996,9606000
Journal of biological inorganic chemistry : JBIC : a publication of the Society of Biological Inorganic Chemistry.,J Biol Inorg Chem,0949-8257,1432-1327,Germany,Biochemistry,1996,9616326
Biological chemistry.,Biol Chem,1431-6730,1437-4315,Germany,Biochemistry,1996,9700112
Free radical research.,Free Radic Res,1071-5762,1029-2470,England,Biochemistry,1994,9423872
Amyloid : the international journal of experimental and clinical investigation : the official journal of the International Society of Amyloidosis.,Amyloid,1350-6129,1744-2818,England,Biochemistry,1994,9433802
