Journal Title,MEDLINE Abbreviation,ISSN (Print),ISSN (Online),Country,Categories,Start Year,NLM ID
JMIR dermatology.,JMIR Dermatol,,2562-0959,Canada,Dermatology,2018,101770607
JAMA dermatology.,JAMA Dermatol,2168-6068,2168-6084,United States,Dermatology,2013,101589530
"Dermatitis : contact, atopic, occupational, drug.",Dermatitis,1710-3568,2162-5220,United States,Dermatology,2004,101207335
Journal of cosmetic dermatology.,J Cosmet Dermatol,1473-2130,1473-2165,England,Dermatology,2002,101130964
Journal of drugs in dermatology : JDD.,J Drugs Dermatol,1545-9616,,United States,Dermatology,2002,101160020
Journal der Deutschen Dermatologischen Gesellschaft = Journal of the German Society of Dermatology : JDDG.,J Dtsch Dermatol Ges,1610-0379,1610-0387,Germany,Dermatology,2003,101164708
Journal of cosmetic and laser therapy : official publication of the European Society for Laser Dermatology.,J Cosmet Laser Ther,1476-4172,1476-4180,England,Dermatology,2001,101136419
American journal of clinical dermatology.,Am J Clin Dermatol,1175-0561,1179-1888,New Zealand,Dermatology,2000,100895290
Dermatology online journal.,Dermatol Online J,,1087-2108,United States,Dermatology,1995,9610776
Skin therapy letter.,Skin Therapy Lett,1201-5989,,Canada,Dermatology,1995,9891441
Acta dermatovenerologica Croatica : ADC.,Acta Dermatovenerol Croat,1330-027X,1847-6538,Croatia,Dermatology,1993,9433781
Skin research and technology : official journal of International Society for Bioengineering and the Skin (ISBS) [and] International Society for Digital Imaging of Skin (ISDIS) [and] International Society for Skin Imaging (ISSI).,Skin Res Technol,0909-752X,1600-0846,England,Dermatology,1995,9504453
Dermatology : international journal for clinical and investigative dermatology.,Dermatology,1018-8665,1421-9832,Switzerland,Dermatology,1992,9203244
Experimental dermatology.,Exp Dermatol,0906-6705,1600-0625,Denmark,Dermatology,1992,9301549
Wound repair and regeneration : official publication of the Wound Healing Society [and] the European Tissue Repair Society.,Wound Repair Regen,1067-1927,1524-475X,United States,Dermatology,1993,9310939
Journal of dermatological science.,J Dermatol Sci,0923-1811,1873-569X,Netherlands,Dermatology,1990,9011485
European journal of dermatology : EJD.,Eur J Dermatol,1167-1122,1952-4013,France,Dermatology,1991,9206420
The Journal of dermatological treatment.,J Dermatolog Treat,0954-6634,1471-1753,England,Dermatology,1989,8918133
Dermatologic clinics.,Dermatol Clin,0733-8635,1558-0520,United States,Dermatology,1983,8300886
Clinics in dermatology.,Clin Dermatol,0738-081X,1879-1131,United States,Dermatology,1983,8406412
Journal of the American Academy of Dermatology.,J Am Acad Dermatol,0190-9622,1097-6787,United States,Dermatology,1979,7907132
International journal of cosmetic science.,Int J Cosmet Sci,0142-5463,1468-2494,England,Dermatology,1979,8007161
The Journal of dermatology.,J Dermatol,0385-2407,1346-8138,England,Dermatology,1974,7600545
Contact dermatitis.,Contact Dermatitis,0105-1873,1600-0536,England,Dermatology,1975,7604950
Clinical and experimental dermatology.,Clin Exp Dermatol,0307-6938,1365-2230,England,Dermatology,1976,7606847
International journal of dermatology.,Int J Dermatol,0011-9059,1365-4632,England,Dermatology,1970,0243704
Cutis.,Cutis,0011-4162,2326-6929,United States,Dermatology,1965,0006440
The Australasian journal of dermatology.,Australas J Dermatol,0004-8380,1440-0960,Australia,Dermatology,1967,0135232
Current problems in dermatology.,Curr Probl Dermatol,1421-5721,1662-2944,Switzerland,Dermatology,1968,0147371
Anais brasileiros de dermatologia.,An Bras Dermatol,0365-0596,1806-4841,Spain,Dermatology,1961,0067662
The British journal of dermatology.,Br J Dermatol,0007-0963,1365-2133,England,Dermatology,1951,0004041
The Journal of investigative dermatology.,J Invest Dermatol,0022-202X,1523-1747,United States,Dermatology,1938,0426720
Journal of cutaneous medicine and surgery.,J Cutan Med Surg,1203-4754,1615-7109,United States,Dermatology; General Surgery,1996,9614685
Dermatologic surgery : official publication for American Society for Dermatologic Surgery [et al.].,Dermatol Surg,1076-0512,1524-4725,United States,Dermatology; General Surgery,1995,9504371
Cutaneous and ocular toxicology.,Cutan Ocul Toxicol,1556-9527,1556-9535,England,Dermatology; Ophthalmology; Toxicology,2005,101266892
The American Journal of dermatopathology.,Am J Dermatopathol,0193-1091,1533-0311,United States,Dermatology; Pathology,1979,7911005
Journal of cutaneous pathology.,J Cutan Pathol,0303-6987,1600-0560,United States,Dermatology; Pathology,1974,0425124
Pediatric dermatology.,Pediatr Dermatol,0736-8046,1525-1470,United States,Dermatology; Pediatrics,1983,8406799
Skin pharmacology and physiology.,Skin Pharmacol Physiol,1660-5527,1660-5535,Switzerland,Dermatology; Pharmacology; Physiology,2004,101188418
Italian journal of dermatology and venereology.,Ital J Dermatol Venerol,2784-8671,2784-8450,Italy,Dermatology; Sexually Transmitted Diseases,2021,101778002
Journal of the European Academy of Dermatology and Venereology : JEADV.,J Eur Acad Dermatol Venereol,0926-9959,1468-3083,England,Dermatology; Sexually Transmitted Diseases,1992,9216037
"Acta dermatovenerologica Alpina, Pannonica, et Adriatica.",Acta Dermatovenerol Alp Pannonica Adriat,1318-4458,1581-2979,Slovenia,Dermatology; Sexually Transmitted Diseases,1992,9422563
Annales de dermatologie et de vénéréologie.,Ann Dermatol Venereol,0151-9638,,France,Dermatology; Sexually Transmitted Diseases,1977,7702013
Acta dermato-venereologica.,Acta Derm Venereol,0001-5555,1651-2057,Sweden,Dermatology; Sexually Transmitted Diseases,1920,0370310
Actas dermo-sifiliográficas.,Actas Dermosifiliogr,0001-7310,1578-2190,Spain,Dermatology; Sexually Transmitted Diseases,1909,0373062
"Indian journal of dermatology, venereology and leprology.",Indian J Dermatol Venereol Leprol,0378-6323,0973-3922,United States,Dermatology; Sexually Transmitted Diseases; Tropical Medicine,1976,7701852
Wounds : a compendium of clinical research and practice.,Wounds,1044-7946,1943-2704,United States,Dermatology; Traumatology,1989,9010276
Veterinary dermatology.,Vet Dermatol,0959-4493,1365-3164,England,Dermatology; Veterinary Medicine,1989,9426187
